# Goxel 0.11.1
# One line per voxel
# X Y Z RRGGBB
31 42 0 000000
26 43 0 000000
27 43 0 000000
28 43 0 000000
29 43 0 000000
30 43 0 000000
31 43 0 000000
25 32 1 000000
26 32 1 000000
27 32 1 000000
28 32 1 000000
29 32 1 000000
30 32 1 000000
31 32 1 000000
25 33 1 000000
26 33 1 000000
27 33 1 000000
28 33 1 000000
29 33 1 000000
30 33 1 000000
31 33 1 000000
25 34 1 000000
26 34 1 000000
27 34 1 000000
28 34 1 000000
29 34 1 000000
30 34 1 000000
31 34 1 000000
25 35 1 000000
26 35 1 000000
27 35 1 000000
28 35 1 000000
29 35 1 000000
30 35 1 000000
31 35 1 000000
25 36 1 000000
26 36 1 000000
27 36 1 000000
28 36 1 000000
29 36 1 000000
30 36 1 000000
31 36 1 000000
25 37 1 000000
26 37 1 000000
27 37 1 000000
28 37 1 000000
29 37 1 000000
30 37 1 000000
31 37 1 000000
26 38 1 d8a46c
27 38 1 d8a46c
28 38 1 d8a46c
29 38 1 d8a46c
30 38 1 d8a46c
31 38 1 d8a46c
26 39 1 d8a46c
27 39 1 d8a46c
28 39 1 d8a46c
29 39 1 d8a46c
30 39 1 d8a46c
31 39 1 d8a46c
26 40 1 000000
27 40 1 080808
28 40 1 d8a46c
29 40 1 d8a46c
30 40 1 080808
31 40 1 000000
26 41 1 000000
27 41 1 000000
28 41 1 000000
29 41 1 000000
30 41 1 000000
31 41 1 000000
26 42 1 000000
27 42 1 000000
28 42 1 000000
29 42 1 000000
30 42 1 000000
31 42 1 000000
26 43 1 000000
27 43 1 000000
28 43 1 000000
29 43 1 000000
30 43 1 000000
31 43 1 000000
21 32 2 000000
25 32 2 000000
26 32 2 000000
27 32 2 000000
28 32 2 000000
29 32 2 000000
30 32 2 000000
31 32 2 000000
20 33 2 000000
21 33 2 000000
22 33 2 000000
25 33 2 000000
26 33 2 000000
27 33 2 000000
28 33 2 000000
29 33 2 000000
30 33 2 000000
31 33 2 000000
19 34 2 000000
20 34 2 000000
21 34 2 000000
22 34 2 000000
23 34 2 000000
25 34 2 000000
26 34 2 000000
27 34 2 000000
28 34 2 000000
29 34 2 000000
30 34 2 000000
31 34 2 000000
18 35 2 000000
19 35 2 000000
20 35 2 000000
22 35 2 000000
23 35 2 000000
24 35 2 000000
25 35 2 000000
26 35 2 000000
27 35 2 000000
28 35 2 000000
29 35 2 000000
30 35 2 000000
31 35 2 000000
17 36 2 d8a46c
18 36 2 000000
19 36 2 000000
23 36 2 000000
24 36 2 000000
25 36 2 000000
26 36 2 000000
27 36 2 000000
28 36 2 000000
29 36 2 000000
30 36 2 000000
31 36 2 000000
17 37 2 d8a46c
18 37 2 d8a46c
25 37 2 000000
26 37 2 000000
27 37 2 000000
28 37 2 000000
29 37 2 000000
30 37 2 000000
31 37 2 000000
26 38 2 d8a46c
27 38 2 d8a46c
28 38 2 d8a46c
29 38 2 d8a46c
30 38 2 d8a46c
31 38 2 d8a46c
26 39 2 d8a46c
27 39 2 d8a46c
28 39 2 d8a46c
29 39 2 d8a46c
30 39 2 d8a46c
31 39 2 d8a46c
26 40 2 000000
27 40 2 080808
28 40 2 d8a46c
29 40 2 d8a46c
30 40 2 080808
31 40 2 000000
26 41 2 000000
27 41 2 000000
28 41 2 000000
29 41 2 000000
30 41 2 000000
31 41 2 000000
26 42 2 000000
27 42 2 000000
28 42 2 000000
29 42 2 000000
30 42 2 000000
31 42 2 000000
26 43 2 000000
27 43 2 000000
28 43 2 000000
29 43 2 000000
30 43 2 000000
31 43 2 000000
21 32 3 000000
25 32 3 000000
26 32 3 000000
27 32 3 000000
28 32 3 000000
29 32 3 000000
30 32 3 000000
31 32 3 000000
20 33 3 000000
21 33 3 000000
22 33 3 000000
25 33 3 000000
26 33 3 000000
27 33 3 000000
28 33 3 000000
29 33 3 000000
30 33 3 000000
31 33 3 000000
19 34 3 000000
20 34 3 000000
21 34 3 000000
22 34 3 000000
23 34 3 000000
25 34 3 000000
26 34 3 000000
27 34 3 000000
28 34 3 000000
29 34 3 000000
30 34 3 000000
31 34 3 000000
18 35 3 000000
19 35 3 000000
20 35 3 000000
22 35 3 000000
23 35 3 000000
24 35 3 000000
25 35 3 000000
26 35 3 000000
27 35 3 000000
28 35 3 000000
29 35 3 000000
30 35 3 000000
31 35 3 000000
17 36 3 d8a46c
18 36 3 000000
19 36 3 000000
23 36 3 000000
24 36 3 000000
25 36 3 000000
26 36 3 000000
27 36 3 000000
28 36 3 000000
29 36 3 000000
30 36 3 000000
31 36 3 000000
17 37 3 d8a46c
18 37 3 d8a46c
25 37 3 000000
26 37 3 000000
27 37 3 000000
28 37 3 000000
29 37 3 000000
30 37 3 000000
31 37 3 000000
26 38 3 080808
27 38 3 d8a46c
28 38 3 d8a46c
29 38 3 d8a46c
30 38 3 d8a46c
31 38 3 080808
26 39 3 080808
27 39 3 d8a46c
28 39 3 d8a46c
29 39 3 d8a46c
30 39 3 d8a46c
31 39 3 080808
26 40 3 080808
27 40 3 080808
28 40 3 d8a46c
29 40 3 d8a46c
30 40 3 080808
31 40 3 080808
26 41 3 000000
27 41 3 000000
28 41 3 000000
29 41 3 000000
30 41 3 000000
31 41 3 000000
26 42 3 000000
27 42 3 000000
28 42 3 000000
29 42 3 000000
30 42 3 000000
31 42 3 000000
26 43 3 000000
27 43 3 000000
28 43 3 000000
29 43 3 000000
30 43 3 000000
31 43 3 000000
25 32 4 000000
26 32 4 000000
27 32 4 000000
28 32 4 000000
29 32 4 000000
30 32 4 000000
31 32 4 000000
25 33 4 000000
26 33 4 000000
27 33 4 000000
28 33 4 000000
29 33 4 000000
30 33 4 000000
31 33 4 000000
25 34 4 000000
26 34 4 000000
27 34 4 000000
28 34 4 000000
29 34 4 000000
30 34 4 000000
31 34 4 000000
25 35 4 000000
26 35 4 000000
27 35 4 000000
28 35 4 000000
29 35 4 000000
30 35 4 000000
31 35 4 000000
25 36 4 000000
26 36 4 000000
27 36 4 000000
28 36 4 000000
29 36 4 000000
30 36 4 000000
31 36 4 000000
25 37 4 000000
26 37 4 000000
27 37 4 000000
28 37 4 000000
29 37 4 000000
30 37 4 000000
31 37 4 000000
26 38 4 d8a46c
27 38 4 d8a46c
28 38 4 d8a46c
29 38 4 d8a46c
30 38 4 d8a46c
31 38 4 d8a46c
26 39 4 d8a46c
27 39 4 d8a46c
28 39 4 d8a46c
29 39 4 d8a46c
30 39 4 d8a46c
31 39 4 d8a46c
26 40 4 d8a46c
27 40 4 080808
28 40 4 d8a46c
29 40 4 d8a46c
30 40 4 080808
31 40 4 d8a46c
26 41 4 000000
27 41 4 000000
28 41 4 000000
29 41 4 000000
30 41 4 000000
31 41 4 000000
26 42 4 000000
27 42 4 000000
28 42 4 000000
29 42 4 000000
30 42 4 000000
31 42 4 000000
26 43 4 000000
27 43 4 000000
28 43 4 000000
29 43 4 000000
30 43 4 000000
31 43 4 000000
26 38 5 d8a46c
27 38 5 d8a46c
28 38 5 d8a46c
29 38 5 d8a46c
30 38 5 d8a46c
31 38 5 d8a46c
26 39 5 d8a46c
27 39 5 d8a46c
28 39 5 d8a46c
29 39 5 d8a46c
30 39 5 d8a46c
31 39 5 d8a46c
26 40 5 d8a46c
27 40 5 080808
28 40 5 d8a46c
29 40 5 d8a46c
30 40 5 080808
31 40 5 d8a46c
26 41 5 000000
27 41 5 000000
28 41 5 000000
29 41 5 000000
30 41 5 000000
31 41 5 000000
26 42 5 000000
27 42 5 000000
28 42 5 000000
29 42 5 000000
30 42 5 000000
31 42 5 000000
26 43 5 000000
27 43 5 000000
28 43 5 000000
29 43 5 000000
30 43 5 000000
31 43 5 000000
32 32 1 000000
32 33 1 000000
32 34 1 000000
32 35 1 000000
32 36 1 000000
32 37 1 000000
32 32 2 000000
36 32 2 000000
37 32 2 000000
38 32 2 000000
32 33 2 000000
35 33 2 000000
36 33 2 000000
37 33 2 000000
32 34 2 000000
34 34 2 000000
35 34 2 000000
36 34 2 000000
32 35 2 000000
33 35 2 000000
34 35 2 000000
35 35 2 000000
32 36 2 000000
33 36 2 000000
34 36 2 000000
32 37 2 000000
32 32 3 000000
36 32 3 000000
37 32 3 000000
38 32 3 000000
32 33 3 000000
35 33 3 000000
36 33 3 000000
37 33 3 000000
32 34 3 000000
34 34 3 000000
35 34 3 000000
36 34 3 000000
32 35 3 000000
33 35 3 000000
34 35 3 000000
35 35 3 000000
32 36 3 000000
33 36 3 000000
34 36 3 000000
32 37 3 000000
32 32 4 000000
32 33 4 000000
32 34 4 000000
32 35 4 000000
32 36 4 000000
32 37 4 000000
